지역,시설수,면적,,,,,,,,,,,,,
총합,21847,59268363,,,,,,,,,,,,,
서    울,2472,9731460,,,,,,,,,,,,,
부    산,1160,2455891,,,,,,,,,,,,,
대    구,656,1031398,,,,,,,,,,,,,
인    천,911,2373578,,,,,,,,,,,,,
광    주,787,219405,,,,,,,,,,,,,
대    전,408,361117,,,,,,,,,,,,,
울    산,196,402758,,,,,,,,,,,,,
세   종,47,51190,,,,,,,,,,,,,
경    기,3257,24732060,,,,,,,,,,,,,
강    원,1650,2545359,,,,,,,,,,,,,
충    북,1766,1416607,,,,,,,,,,,,,
충    남,1112,1876245,,,,,,,,,,,,,
전    북,708,1647499,,,,,,,,,,,,,
전    남,1951,4003134,,,,,,,,,,,,,
경    북,2510,2823692,,,,,,,,,,,,,
경    남,1873,2789685,,,,,,,,,,,,,
제    주,383,807285,,,,,,,,,,,,,
